Type,Count,Avg_Total_Lat,Avg_Issue_Lat,Not_Taken,Mispredicted,Saturated,Location,Line Number,Line,Function,Assembly
IND,309,14.96,13.96,309,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,573,"}",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,b.ne #0x5e6df4
IND,641,7.19,6.19,641,0,0,(null),0,(null),(null),(null)
IND,352,12.96,11.96,352,0,0,/home/ubuntu/rocksdb/util/coding.cc,28,"  if (v < (1 << 7)) {",_ZN7rocksdb14EncodeVarint32EPcj,b.hi #0x715de8
IND,278,15.99,14.99,0,0,0,???,0,???,???,???
IND,315,13.47,12.47,0,0,0,/home/ubuntu/rocksdb/db/lookup_key.h,65,"  if (start_ != space_) delete[] start_;",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,b.eq #0xae90
IND,275,15.25,14.25,0,0,0,/home/ubuntu/rocksdb/include/rocksdb/slice.h,277,"  return ((x.size() == y.size()) &&",_ZNK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl5EqualERKNS_5SliceES4_,b.eq #0x7162b0
IND,658,6.33,5.33,0,0,0,(null),0,(null),(null),(null)
IND,327,12.60,11.60,0,1,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,327,"  }",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,ret 
IND,354,11.56,10.56,0,0,0,/usr/include/c++/11/bits/random.tcc,466,"    }",_ZNSt23mersenne_twister_engineImLm64ELm312ELm156ELm31ELm13043109905998158313ELm29ELm6148914691236517205ELm17ELm8202884508482404352ELm37ELm18444473444759240704ELm43ELm6364136223846793005EEclEv,ret 
IND,145,27.82,26.82,0,0,0,/home/ubuntu/rocksdb/memtable/memtablerep_bench.cc,322,"    table_->Get(lookup_key, &verify_args, callback);",_ZN7rocksdb19ReadBenchmarkThread7ReadOneEv,blr x4
