L1 (%),L1 bins (% | % | % | %),L2 (%),L2 bins (% | % | % | %),L3 (%),L3 bins (% | % | % | %),DRAM (%),DRAM bins (% | % | % | %),Location,Line Number,Line,Function,Assembly
79.21,31.04 | 15.84 | 8.00 | 45.12,9.51,0.00 | 70.67 | 28.00 | 1.33,4.44,0.00 | 0.00 | 45.71 | 54.29,6.84,0.00 | 0.00 | 0.00 | 100.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0]
100.00,78.65 | 21.34 | 0.01 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w0  [x23  x0]
100.00,49.39 | 50.61 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x2  [x1]
100.00,57.84 | 42.10 | 0.06 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,(null),0,(null),(null),(null)
100.00,82.21 | 17.74 | 0.04 | 0.01,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x23  x0]
100.00,75.82 | 24.17 | 0.01 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x0  [x4]
100.00,22.59 | 77.32 | 0.10 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x21  x22  [sp  #0x20]
94.91,28.32 | 22.65 | 10.13 | 38.90,2.97,0.00 | 61.90 | 33.33 | 4.76,0.85,0.00 | 0.00 | 50.00 | 50.00,1.27,0.00 | 0.00 | 0.00 | 100.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0]
100.00,26.04 | 73.86 | 0.09 | 0.01,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x29  x30  [sp]  #0x20
100.00,31.81 | 67.91 | 0.27 | 0.01,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x23  x24  [sp  #0x30]
