Avg Exec Latency,Count,Saturated,Location,Line,Function,Assembly
9.00,1,0,/usr/lib/aarch64-linux-gnu/malloc/malloc.c:3347,???,???,ldr x23  [sp  #0x30]
9.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xae251c,(null),???,???
9.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x109a118,(null),_ZN4node9inspector12_GLOBAL__N_19WsHandler6OnDataEPSt6vectorIcSaIcEE,ldp x25  x26  [sp  #0x40]
9.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x17af7d8,(null),_ZNSt10_HashtableIN2v88internal7BuiltinESt4pairIKS2_jESaIS5_ENSt8__detail10_Select1stESt8equal_toIS2_ESt4hashIS2_ENS7_18_Mod_range_hashingENS7_20_Default_ranged_hashENS7_20_Prime_rehash_policyENS7_17_Hashtable_traitsILb0ELb0ELb1EEEE21_M_insert_unique_nodeERS4_mmPNS7_10_Hash_nodeIS5_Lb0EEEm.isra.0,mov x0  x4
9.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x17c7508,(null),_ZN2v87tracing11TracedValue10WriteCommaEv,cmp x20  #0xf
9.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x17d4040,(null),_ZNK12v8_inspector21PromiseHandlerTracker11sendFailureEPNS_14InjectedScript22ProtocolPromiseHandlerERKN8v8_crdtp16DispatchResponseE,str x3  [sp  #0x78]
9.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x21fdb10,(null),_ZN3ada4idna10to_unicodeB5cxx11ESt17basic_string_viewIcSt11char_traitsIcEE,movz w1  #0x2e
9.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x221d9ec,(null),_ZN3ada6parser14parse_url_implINS_3urlELb1EEET_St17basic_string_viewIcSt11char_traitsIcEEPKS3_,b.eq #0x221fb08
9.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x241bbcc,(null),HUF_decompress4X2_usingDTable_internal_default.part.0,b #0x241b1d0
9.00,1,0,/home/ubuntu/.rustup/toolchains/stable-aarch64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/ub_checks.rs:0,???,_ZN105_$LT$std..ffi..os_str..OsString$u20$as$u20$core..ops..index..Index$LT$core..ops..range..RangeFull$GT$$GT$5index17h234d4fff4ab2ea86E,ldr x3  [sp  #8]
